FID,OBJECTID,SHAPE,UNIQUEID,BEZEICHNUNG,ADRESSE,PLZ,WEBLINK1,RECHTSWERT_WGS84,HOCHWERT_WGS84,ICON,STATUS,BETREIBER,VERFUEGBARKEIT,VERFUEGBARKEIT_TXT
RADSERVICEOGD.171584,171584,POINT (16.39039523131737 48.21055685288808),RS115,Radservicestation,Radetzkyplatz,1030,https://www.wienerlinien.at/wienmobil/stationen,16.39039523,48.21055679,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171585,171585,POINT (16.395745555943883 48.205380158669726),RS116,Radservicestation,Kundmanngasse 4,1030,https://www.wienerlinien.at/wienmobil/stationen,16.39574555,48.20538009,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171586,171586,POINT (16.306958695276602 48.198354876814385),RS117,Radservicestation,Ludwig-Zatzka-Park,1140,https://www.wienerlinien.at/wienmobil/stationen,16.30695869,48.19835481,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171587,171587,POINT (16.26169500534552 48.19810317852663),RS118,Radservicestation,Keißlergasse 18,1140,https://www.wienerlinien.at/wienmobil/stationen,16.261695,48.19810311,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171588,171588,POINT (16.36083061517194 48.212711293697865),RS30,Radservicestation,Universitätsring 1,1010,https://www.univie.ac.at/,16.36083061,48.21271123,Werkzeug,Aktiv,Uni Wien,,
RADSERVICEOGD.171589,171589,POINT (16.431597751673305 48.205581985067774),RS29,Radservicestation,Johann-Böhm-Platz 1,1020,https://www.arboe.at/wien/arboe-rad-stationen/,16.43159775,48.20558192,Werkzeug,Aktiv,ARBÖ,,
RADSERVICEOGD.171590,171590,POINT (16.40625341651267 48.21746749385513),RS34,Radservicestation,Messeplatz,1020,https://www.wienerlinien.at/wienmobil/stationen,16.40625341,48.21746743,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171591,171591,POINT (16.421141681086585 48.21019977100683),RS35,Radservicestation,Olympiaplatz,1020,https://www.wienerlinien.at/wienmobil/stationen,16.42114168,48.2101997,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171592,171592,POINT (16.390332257745186 48.21854582375882),RS33,Radservicestation,Praterstern / Heinestraße,1020,https://www.wienerlinien.at/wienmobil/stationen,16.39033225,48.21854576,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171593,171593,POINT (16.380553537261523 48.21570629769937),RS31,Radservicestation,Schmelzgasse 2,1020,https://www.wienerlinien.at/wienmobil/stationen,16.38055353,48.21570623,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
